Gene	Sample	Value
GATA3	NKI_4	0.489
CA12	NKI_4	-0.349
THSD4	NKI_4	-0.261
AFF3	NKI_4	0.141
TBC1D9	NKI_4	-0.061
FOXA1	NKI_4	-0.045
GREB1	NKI_4	0.334
DNALI1	NKI_4	-0.082
VGLL1	NKI_4	-0.346
PRR15	NKI_4	0.13
SLC7A2	NKI_4	-0.338
XBP1	NKI_4	-0.154
SCUBE2	NKI_4	-0.628
MYB	NKI_4	0.155
B3GNT5	NKI_4	-0.042
CELSR1	NKI_4	-0.393
NAT1	NKI_4	0.087
MAGED2	NKI_4	0.12
VAV3	NKI_4	-0.052
FBP1	NKI_4	0.395
BCL11A	NKI_4	-0.194
SOD2	NKI_4	0.138
AGR2	NKI_4	-0.113
ERBB4	NKI_4	-0.025
TNFRSF21	NKI_4	-0.215
PHGDH	NKI_4	-0.377
TFF3	NKI_4	0.342
STS-1	NKI_4	-0.01
TCEAL1	NKI_4	-0.108
GABRP	NKI_4	-0.466
FLJ21127	NKI_4	0.1
BCL2	NKI_4	0.251
MOAP1	NKI_4	-0.234
ACOT4	NKI_4	-0.232
YBX1	NKI_4	0.306
SOD2	NKI_4	0.159
MREG	NKI_4	0.073
CDH3	NKI_4	-0.396
C10orf38	NKI_4	-0.417
RARRES1	NKI_4	-0.424
ABTB2	NKI_4	-0.092
RERG	NKI_4	-0.101
ST8SIA1	NKI_4	-0.011
SIRPA	NKI_4	-0.191
MICALL1	NKI_4	-0.166
CDCA7	NKI_4	0.008
ERBB4	NKI_4	0.176
QSCN6L1	NKI_4	-0.037
CYP2B6	NKI_4	0.265
CIRBP	NKI_4	-0.143
ERBB3	NKI_4	0.178
CHCHD5	NKI_4	-0.058
LOC124220	NKI_4	-0.159
TMCC2	NKI_4	-0.272
DACH1	NKI_4	0.437
HMGCL	NKI_4	-0.196
NCOA7	NKI_4	-0.085
FSCN1	NKI_4	-0.145
KCNN4	NKI_4	-0.441
CPEB2	NKI_4	-0.152
CYP2B6	NKI_4	0.234
AKR7A3	NKI_4	0.272
FLJ20273	NKI_4	0.081
JMJD2B	NKI_4	-0.091
CDK2AP1	NKI_4	0.08
HEXIM1	NKI_4	-0.288
SH2D2A	NKI_4	0.339
IFNAR2	NKI_4	0.015
ASNS	NKI_4	-0.177
MLZE	NKI_4	-0.046
SKP1A	NKI_4	0.242
MYO5C	NKI_4	-0.095
APOBEC3B	NKI_4	0.067
LRBA	NKI_4	-0.09
UBXD3	NKI_4	0.121
DSC2	NKI_4	0.187
TEGT	NKI_4	0.132
EML4	NKI_4	0.022
KARCA1	NKI_4	0.051
GATA3	NKI_6	0.429
CA12	NKI_6	0.186
THSD4	NKI_6	0.346
AFF3	NKI_6	0.241
TBC1D9	NKI_6	0.364
FOXA1	NKI_6	0.075
GREB1	NKI_6	0.113
DNALI1	NKI_6	0.046
VGLL1	NKI_6	-0.413
PRR15	NKI_6	0.229
SLC7A2	NKI_6	0.366
XBP1	NKI_6	0.186
SCUBE2	NKI_6	0.703
MYB	NKI_6	0.268
B3GNT5	NKI_6	-0.208
CELSR1	NKI_6	0.25
NAT1	NKI_6	0.491
MAGED2	NKI_6	0.21
VAV3	NKI_6	0.228
FBP1	NKI_6	0.37
BCL11A	NKI_6	-0.334
SOD2	NKI_6	-0.411
AGR2	NKI_6	0.354
ERBB4	NKI_6	0.315
TNFRSF21	NKI_6	-0.336
PHGDH	NKI_6	-0.049
TFF3	NKI_6	-0.235
STS-1	NKI_6	-0.128
TCEAL1	NKI_6	0.348
GABRP	NKI_6	-0.431
FLJ21127	NKI_6	0.115
BCL2	NKI_6	0.269
MOAP1	NKI_6	0.15
ACOT4	NKI_6	0.194
YBX1	NKI_6	-0.106
SOD2	NKI_6	-0.441
MREG	NKI_6	0.077
CDH3	NKI_6	-0.77
C10orf38	NKI_6	-0.01
RARRES1	NKI_6	-0.304
ABTB2	NKI_6	-0.139
RERG	NKI_6	0.22
ST8SIA1	NKI_6	-0.244
SIRPA	NKI_6	-0.312
MICALL1	NKI_6	-0.159
CDCA7	NKI_6	-0.662
ERBB4	NKI_6	0.35
QSCN6L1	NKI_6	0.078
CYP2B6	NKI_6	-0.213
CIRBP	NKI_6	-0.05
ERBB3	NKI_6	0.201
CHCHD5	NKI_6	0.081
LOC124220	NKI_6	0.059
TMCC2	NKI_6	-0.187
DACH1	NKI_6	0.505
HMGCL	NKI_6	0.203
NCOA7	NKI_6	-0.501
FSCN1	NKI_6	-0.117
KCNN4	NKI_6	-0.543
CPEB2	NKI_6	0.129
CYP2B6	NKI_6	-0.218
AKR7A3	NKI_6	0.123
FLJ20273	NKI_6	0.151
JMJD2B	NKI_6	0.745
CDK2AP1	NKI_6	-0.166
HEXIM1	NKI_6	0.31
SH2D2A	NKI_6	-0.485
IFNAR2	NKI_6	-0.171
ASNS	NKI_6	-0.168
MLZE	NKI_6	-0.016
SKP1A	NKI_6	-0.125
MYO5C	NKI_6	0.171
APOBEC3B	NKI_6	-0.22
LRBA	NKI_6	0.295
UBXD3	NKI_6	0.215
DSC2	NKI_6	-0.154
TEGT	NKI_6	0.174
EML4	NKI_6	0.024
KARCA1	NKI_6	-0.075
GATA3	NKI_7	-0.099
CA12	NKI_7	0.005
THSD4	NKI_7	0.047
AFF3	NKI_7	0.085
TBC1D9	NKI_7	-0.296
FOXA1	NKI_7	0.199
GREB1	NKI_7	0.295
DNALI1	NKI_7	0.162
VGLL1	NKI_7	-0.552
PRR15	NKI_7	0.131
SLC7A2	NKI_7	-0.209
XBP1	NKI_7	0.185
SCUBE2	NKI_7	-0.218
MYB	NKI_7	-0.045
B3GNT5	NKI_7	-0.091
CELSR1	NKI_7	-0.061
NAT1	NKI_7	-0.771
MAGED2	NKI_7	-0.153
VAV3	NKI_7	0.074
FBP1	NKI_7	-0.085
BCL11A	NKI_7	-0.061
SOD2	NKI_7	-0.216
AGR2	NKI_7	-0.287
ERBB4	NKI_7	0.09
TNFRSF21	NKI_7	-0.241
PHGDH	NKI_7	-0.403
TFF3	NKI_7	-0.297
STS-1	NKI_7	0.193
TCEAL1	NKI_7	-0.061
GABRP	NKI_7	-0.269
FLJ21127	NKI_7	0.108
BCL2	NKI_7	0.066
MOAP1	NKI_7	0.123
ACOT4	NKI_7	-0.052
YBX1	NKI_7	0.086
SOD2	NKI_7	-0.261
MREG	NKI_7	-0.008
CDH3	NKI_7	-0.077
C10orf38	NKI_7	0.011
RARRES1	NKI_7	-0.179
ABTB2	NKI_7	-0.132
RERG	NKI_7	-0.24
ST8SIA1	NKI_7	-0.218
SIRPA	NKI_7	-0.043
MICALL1	NKI_7	-0.043
CDCA7	NKI_7	-0.407
ERBB4	NKI_7	-0.024
QSCN6L1	NKI_7	-0.092
CYP2B6	NKI_7	-0.659
CIRBP	NKI_7	0.007
ERBB3	NKI_7	0.066
CHCHD5	NKI_7	0.133
LOC124220	NKI_7	0.086
TMCC2	NKI_7	-0.153
DACH1	NKI_7	-0.059
HMGCL	NKI_7	0.114
NCOA7	NKI_7	-0.363
FSCN1	NKI_7	0.061
KCNN4	NKI_7	-0.037
CPEB2	NKI_7	0.214
CYP2B6	NKI_7	-0.543
AKR7A3	NKI_7	0.148
FLJ20273	NKI_7	-0.058
JMJD2B	NKI_7	0.082
CDK2AP1	NKI_7	-0.024
HEXIM1	NKI_7	0.172
SH2D2A	NKI_7	-0.321
IFNAR2	NKI_7	0.176
ASNS	NKI_7	-0.16
MLZE	NKI_7	-0.107
SKP1A	NKI_7	0.132
MYO5C	NKI_7	0.14
APOBEC3B	NKI_7	-0.321
LRBA	NKI_7	0.024
UBXD3	NKI_7	0.023
DSC2	NKI_7	-0.277
TEGT	NKI_7	0.074
EML4	NKI_7	-0.072
KARCA1	NKI_7	-0.284
GATA3	NKI_8	-0.405
CA12	NKI_8	-0.728
THSD4	NKI_8	-1.14
AFF3	NKI_8	-0.709
TBC1D9	NKI_8	-0.242
FOXA1	NKI_8	-0.547
GREB1	NKI_8	-0.717
