#bin	chrom	chromStart	chromEnd	name	score	floatScore
1470	chr7	116099071	116100373	26384	720	2.183
1589	chr5	131622266	131623568	26442	679	2.06
1590	chr5	131854028	131855330	26415	693	2.102
1591	chr5	131859918	131861220	26451	675	2.048
1592	chr5	132109996	132111298	26337	764	2.317
1593	chr5	132140320	132141622	26374	729	2.21
1471	chr11	116212868	116214170	26386	718	2.178
816	chr22	30341490	30342792	26387	718	2.176
102	chr22	30670342	30671644	26475	663	2.01
821	chr22	31055966	31057268	26400	705	2.137
834	chr21	32706065	32707367	26411	698	2.118
835	chr21	32880219	32881521	26486	659	1.998
835	chr21	32887173	32888475	26339	763	2.315
840	chr21	33523521	33524823	26479	663	2.01
842	chr21	33696953	33698255	26292	961	2.915
843	chr21	33936429	33937731	26324	794	2.408
1750	chrX	152802698	152804000	26367	733	2.224
1750	chrX	152804408	152805710	26396	706	2.142
1750	chrX	152828044	152829346	26426	688	2.085
1751	chrX	152853010	152854312	26379	724	2.195
1751	chrX	152861104	152862406	26438	681	2.065
1751	chrX	152930568	152931870	26437	681	2.065
1751	chrX	152937712	152939014	26405	701	2.125
1752	chrX	153015460	153016762	26321	796	2.415
1754	chrX	153223396	153224697	26335	766	2.322
1754	chrX	153255930	153257233	26315	808	2.45
1754	chrX	153269061	153270363	26480	661	2.006
1754	chrX	153271037	153272338	26341	762	2.311
1754	chrX	153309390	153310692	26468	665	2.018
1754	chrX	153339027	153340330	26303	862	2.614
1755	chrX	153397065	153398367	26421	690	2.093
1755	chrX	153412647	153413949	26399	706	2.14
1755	chrX	153439475	153440777	26381	722	2.188
1755	chrX	153466227	153467529	26299	888	2.693
1756	chrX	153499287	153500589	26364	737	2.235
1756	chrX	153535159	153536461	26407	700	2.122
1035	chr19	59063655	59064957	26447	676	2.05
1035	chr19	59077715	59079017	26297	939	2.847
1035	chr19	59093029	59094331	26481	661	2.005
1035	chr19	59103897	59105199	26310	834	2.528
1036	chr19	59114613	59115915	26369	731	2.218
1036	chr19	59116399	59117701	26375	728	2.207
1036	chr19	59117577	59118879	26370	730	2.215
1036	chr19	59118641	59119943	26366	734	2.225
1036	chr19	59119667	59120969	26419	691	2.095
1036	chr19	59172563	59173865	26472	664	2.014
1036	chr19	59176287	59177589	26342	758	2.3
1036	chr19	59177389	59178691	26414	693	2.102
1036	chr19	59186585	59187887	26445	678	2.055
1037	chr19	59363019	59364321	26406	700	2.123
1038	chr19	59375825	59377127	26422	689	2.09
1038	chr19	59385363	59386665	26304	861	2.612
1038	chr19	59404249	59405551	26346	753	2.283
1038	chr19	59414889	59416191	26435	681	2.065
1038	chr19	59435751	59437053	26484	660	2
1038	chr19	59470977	59472279	26330	783	2.373
1039	chr19	59552335	59553637	26313	815	2.47
1039	chr19	59618569	59619871	26390	711	2.157
1039	chr19	59621457	59622759	26413	694	2.105
1039	chr19	59622521	59623823	26294	947	2.87
129	chr19	59637683	59638985	26393	710	2.154
1040	chr19	59667893	59669195	26340	762	2.311
1041	chr19	59827683	59828985	26358	743	2.254
1041	chr19	59836917	59838219	26456	672	2.037
1042	chr19	59972995	59974297	26466	667	2.022
1042	chr19	60019659	60020961	26471	664	2.015
585	chr16	61807	63109	26455	673	2.04
585	chr16	71573	72875	26319	798	2.42
585	chr16	72751	74053	26485	660	2
586	chr16	143317	144619	26473	664	2.013
586	chr16	153919	155221	26388	717	2.174
586	chr16	155135	156437	26441	679	2.06
586	chr16	260053	261355	26348	751	2.277
587	chr16	265373	266675	26372	729	2.212
587	chr16	270085	271387	26305	856	2.595
587	chr16	273163	274465	26331	781	2.367
587	chr16	278369	279671	26392	711	2.155
587	chr16	283195	284497	26428	687	2.084
587	chr16	285855	287157	26361	740	2.245
587	chr16	342361	343663	26351	748	2.269
587	chr16	348631	349933	26423	689	2.09
587	chr16	352583	353885	26470	665	2.017
587	chr16	365655	366957	26425	689	2.088
587	chr16	370177	371479	26434	683	2.072
587	chr16	378993	380295	26385	719	2.18
587	chr16	386935	388237	26355	745	2.26
587	chr16	391001	392303	26306	851	2.581
791	chr7	27113760	27115062	26457	671	2.036
792	chr7	27205568	27206870	26357	744	2.255
598	chr11	1741316	1742618	26432	685	2.076
598	chr11	1745610	1746912	26460	669	2.029
598	chr11	1749790	1751092	26338	764	2.316
598	chr11	1757694	1758996	26395	707	2.144
598	chr11	1802420	1803722	26359	741	2.248
598	chr11	1809716	1811018	26320	797	2.417
598	chr11	1813250	1814552	26458	670	2.033
598	chr11	1815302	1816604	26318	800	2.427
598	chr11	1821496	1822798	26314	810	2.455
599	chr11	1841560	1842862	26408	699	2.12
599	chr11	1849920	1851222	26347	751	2.278
599	chr11	1851402	1852704	26301	865	2.622
599	chr11	1856570	1857872	26398	706	2.14
599	chr11	1858432	1859734	26436	681	2.065
599	chr11	1866754	1868056	26293	951	2.882
599	chr11	1867856	1869158	26417	692	2.099
599	chr11	1891682	1892984	26350	749	2.27
599	chr11	1904450	1905752	26453	674	2.045
599	chr11	1907262	1908564	26476	663	2.01
599	chr11	1915964	1917266	26461	669	2.028
599	chr11	1924742	1926044	26317	802	2.432
599	chr11	1927858	1929160	26474	663	2.012
599	chr11	1934394	1935696	26429	687	2.082
599	chr11	1953356	1954658	26401	704	2.135
599	chr11	1959626	1960928	26307	848	2.572
599	chr11	1960804	1962106	26478	663	2.01
600	chr11	1971634	1972936	26323	795	2.41
600	chr11	1995270	1996572	26483	660	2.003
600	chr11	2014498	2015800	26448	676	2.05
600	chr11	2016626	2017928	26300	874	2.65
601	chr11	2100036	2101338	26308	845	2.562
601	chr11	2116034	2117336	26288	1065	3.23
601	chr11	2122798	2124100	26449	676	2.05
601	chr11	2141342	2142644	26440	679	2.06
601	chr11	2145104	2146406	26427	687	2.084
601	chr11	2146852	2148154	26378	724	2.195
601	chr11	2169880	2171182	26416	693	2.101
601	chr11	2173186	2174488	26349	750	2.275
601	chr11	2174706	2176008	26363	737	2.235
601	chr11	2182420	2183722	26450	676	2.05
602	chr11	2277192	2278494	26373	729	2.21
1457	chr7	114349135	114350437	26371	729	2.212
813	chr13	29893566	29894868	26354	746	2.262
1442	chr13	112391891	112393193	26291	966	2.928
1443	chr13	112468765	112470067	26368	733	2.222
1444	chr13	112597015	112598317	26430	687	2.082
1444	chr13	112645503	112646805	26327	789	2.392
1444	chr13	112714055	112715357	26389	714	2.165
1445	chr13	112727659	112728961	26469	665	2.018
1445	chr13	112787319	112788621	26412	694	2.106
1445	chr13	112809815	112811117	26353	746	2.262
1445	chr13	112811905	112813207	26352	747	2.265
887	chr21	39607005	39608307	26289	988	2.995
887	chr21	39642535	39643837	26465	667	2.023
1013	chr5	56147019	56148321	26332	773	2.345
1014	chr5	56283059	56284361	26383	721	2.185
1594	chr6	132313178	132314480	26459	670	2.033
1725	chr1	149520957	149522259	26443	679	2.058
1727	chr1	149697543	149698845	26397	706	2.141
1727	chr1	149750135	149751437	26482	661	2.005
1583	chr9	130838533	130839835	26462	668	2.027
1583	chr9	130872315	130873617	26454	674	2.043
1583	chr9	130889415	130890717	26382	721	2.187
1583	chr9	130900207	130901509	26431	686	2.08
1583	chr9	130904045	130905347	26344	754	2.287
1584	chr9	130952039	130953341	26409	699	2.12
1584	chr9	130954509	130955811	26365	734	2.227
1584	chr9	130978753	130980055	26433	684	2.075
1584	chr9	131037767	131039069	26467	666	2.02
1585	chr9	131153819	131155121	26290	981	2.974
1585	chr9	131195467	131196769	26394	708	2.147
1585	chr9	131199533	131200835	26464	668	2.025
198	chr9	131201889	131203191	26329	785	2.379
1586	chr9	131206487	131207789	26309	843	2.557
1586	chr9	131215379	131216681	26311	832	2.522
1338	chr14	98766916	98768218	26402	703	2.133
1413	chr6	108547051	108548353	26452	675	2.047
1414	chr6	108688297	108689599	26444	679	2.058
1522	chrX	122820952	122822254	26356	745	2.26
2263	chr2	220007344	220008646	26376	726	2.202
2263	chr2	220016958	220018260	26336	765	2.32
2264	chr2	220081216	220082518	26380	724	2.195
2264	chr2	220086574	220087876	26322	795	2.412
2264	chr2	220094858	220096160	26302	863	2.616
2264	chr2	220124954	220126256	26343	758	2.3
2264	chr2	220129894	220131196	26334	767	2.325
2264	chr2	220143308	220144610	26439	681	2.065
35	chr2	220200080	220201382	26325	793	2.405
2265	chr2	220212620	220213922	26404	702	2.128
1074	chr11	64121065	64122367	26345	754	2.285
1074	chr11	64160585	64161887	26487	659	1.997
1074	chr11	64166551	64167853	26316	805	2.44
1075	chr11	64266187	64267489	26424	689	2.088
1075	chr11	64268505	64269807	26298	937	2.84
1075	chr11	64289405	64290707	26410	698	2.118
1075	chr11	64312585	64313887	26477	663	2.01
1075	chr11	64320375	64321677	26418	692	2.097
1076	chr11	64370573	64371875	26362	740	2.244
1076	chr11	64412373	64413675	26420	691	2.094
1076	chr11	64427307	64428609	26360	740	2.245
839	chr20	33337969	33339271	26377	724	2.195
841	chr20	33652077	33653379	26326	792	2.4
841	chr20	33667277	33668579	26328	789	2.391
901	chr6	41502509	41503811	26296	944	2.862
902	chr6	41622399	41623701	26446	678	2.055
